チーム,背番号,名前,ポジション,スロット,カラー,文字
JAPAN,1,西田 有志,OP,4,#ed0014,white
JAPAN,2,小野寺 太志,MB,6,#ed0014,white
JAPAN,3,深津 英臣,S,,#ed0014,white
JAPAN,4,宮浦 健人,OP,,#ed0014,white
JAPAN,5,大塚 達宣,OH,,#ed0014,white
JAPAN,6,山内 晶大,MB,,#ed0014,white
JAPAN,7,新井 雄大,OH,,#ed0014,white
JAPAN,8,関田 誠大,S,1,#ed0014,white
JAPAN,9,河東 祐大,S,,#ed0014,white
JAPAN,10,髙橋 健太郎,MB,3,#ed0014,white
JAPAN,11,富田 将馬,OH,,#ed0014,white
JAPAN,12,髙橋 藍,OH,5,#ed0014,white
JAPAN,13,小川 智大,L,,#ffffff,black
JAPAN,14,石川 祐希,OH,2,#ed0014,white
JAPAN,15,甲斐 優斗,OH,,#ed0014,white
JAPAN,16,村山 豪,MB,,#ed0014,white
JAPAN,17,西本 圭吾,MB,,#ed0014,white
JAPAN,18,西山 大翔,OP,,#ed0014,white
JAPAN,19,備 一真,L,,#ffffff,black
JAPAN,20,山本 智大,L,L,#ffffff,black
JAPAN,21,永露 元稀,S,,#ed0014,white
JAPAN,22,アライン,OH,,#ed0014,white
JAPAN,23,エバデダン ラリー,MB,,#ed0014,white
JAPAN,24,高橋 慶帆,OP,,#ed0014,white
JAPAN,25,下川 諒,S,,#ed0014,white
JAPAN,26,後藤 陸翔,OH,,#ed0014,white
JAPAN,27,武田 大周,L,,#ffffff,black
JAPAN,28,麻野 堅斗,MB,,#ed0014,white
JAPAN,29,三輪 大将,MB,,#ed0014,white
JAPAN,30,西川 馨太郎,MB,,#ed0014,white
JAPAN,31,工藤 有史,OH,,#ed0014,white
JAPAN,32,佐藤 駿一郎,MB,,#ed0014,white
JAPAN,33,川野 琢磨,OH,,#ed0014,white
JAPAN,34,一ノ瀬 漣,OH,,#ed0014,white
JAPAN,35,伊藤 吏玖,MB,,#ed0014,white
JAPAN,36,高橋 和幸,L,,#ffffff,black
JAPAN,37,山田 大貴,OP,,#ed0014,white
