チーム,背番号,名前,ポジション,スロット,カラー,番号色
ヴォレアス北海道,2,中道 優斗,OH,,#c70024,white
ヴォレアス北海道,3,国京 大海,S,,#c70024,white
ヴォレアス北海道,4,松下 彪雅,MB,,#c70024,white
ヴォレアス北海道,5,井上 仁,MB,,#c70024,white
ヴォレアス北海道,6,山岸 隼,S,1,#c70024,white
ヴォレアス北海道,8,日車 恭輔,OH,,#c70024,white
ヴォレアス北海道,9,池田 幸太,OH,,#c70024,white
ヴォレアス北海道,10,タンメアル,OH,2,#c70024,white
ヴォレアス北海道,11,外崎 航平,L,L,#b6b2bf,black
ヴォレアス北海道,12,荒尾 怜音,L,,#b6b2bf,white
ヴォレアス北海道,14,張 育陞,OP,4,#c70024,white
ヴォレアス北海道,15,出口 大聖,MB,,#c70024,white
ヴォレアス北海道,18,古賀 健太,OP,,#c70024,white
ヴォレアス北海道,19,浜田 翔太,S,,#c70024,white
ヴォレアス北海道,20,染野 輝,OH,5,#c70024,white
ヴォレアス北海道,34,三好 佳介,MB,6,#c70024,white
ヴォレアス北海道,44,タンメマー,MB,3,#c70024,white
東京グレートベアーズ,1,クレク,OP,4,#ed5f95,black
東京グレートベアーズ,3,深津 旭弘,S,,#ed5f95,black
東京グレートベアーズ,4,コザメルニク,MB,,#ed5f95,black
東京グレートベアーズ,5,谷口 渉,OH,,#ed5f95,black
東京グレートベアーズ,6,フェレイラ,OH,,#ed5f95,black
東京グレートベアーズ,8,柳田 将洋,OH,,#ed5f95,black
東京グレートベアーズ,9,戸嵜 嵩大,OH,,#ed5f95,black
東京グレートベアーズ,10,古賀 太一郎,L,L,#00003d,white
東京グレートベアーズ,12,村山 豪,MB,3,#ed5f95,black
東京グレートベアーズ,13,大竹 壱青,MB,,#ed5f95,black
東京グレートベアーズ,15,今橋 祐希,S,,#ed5f95,black
東京グレートベアーズ,17,ヴィセンティン,OH,5,#ed5f95,black
東京グレートベアーズ,25,後藤 陸翔,OH,2,#ed5f95,black
東京グレートベアーズ,26,伊藤 吏玖,MB,6,#ed5f95,black
東京グレートベアーズ,29,大前 隆貴,L,,#00003d,white
東京グレートベアーズ,30,川野 琢磨,OH,,#ed5f95,black
東京グレートベアーズ,31,黒川 竜星,S,,#ed5f95,black
東京グレートベアーズ,32,近藤 蘭丸,S,1,#ed5f95,black
東京グレートベアーズ,39,髙島 優作,OP,,#ed5f95,black
VC長野トライデンツ,1,山田 航旗,MB,3,#800026,white
VC長野トライデンツ,2,藤澤 慶一郎,L,,#fffffc,black
VC長野トライデンツ,3,酒井 秀輔,OP,,#800026,white
VC長野トライデンツ,5,難波 宏冶,L,L,#fffffc,black
VC長野トライデンツ,6,赤星 伸城,S,,#800026,white
VC長野トライデンツ,7,古藤 宏規,L,,#fffffc,black
VC長野トライデンツ,8,中島 健斗,S,1,#800026,white
VC長野トライデンツ,9,藤原 奨太,OH,,#800026,white
VC長野トライデンツ,10,安原 大,MB,6,#800026,white
VC長野トライデンツ,11,工藤 有史,OH,2,#800026,white
VC長野トライデンツ,12,星名 勇佑,S,,#800026,white
VC長野トライデンツ,13,飯田 孝雅,OP,,#800026,white
VC長野トライデンツ,14,ニーブス,OP,4,#800026,white
VC長野トライデンツ,17,松本 慶彦,MB,,#800026,white
VC長野トライデンツ,18,佐藤 隆哉,OH,,#800026,white
VC長野トライデンツ,19,一条 太嘉丸,OH,,#800026,white
VC長野トライデンツ,21,岸川 蓮樹,OP,,#800026,white
VC長野トライデンツ,22,マドセン,OH,5,#800026,white
VC長野トライデンツ,24,安部 翔大,MB,,#800026,white
VC長野トライデンツ,26,ファルハン,OH,,#800026,white
東レアローズ静岡,1,難波 尭弘,MB,,#004099,white
東レアローズ静岡,2,新 貴裕,S,1,#004099,white
東レアローズ静岡,3,山口 拓海,L,,#e1e1e3,black
東レアローズ静岡,4,酒井 啓輔,S,,#004099,white
東レアローズ静岡,6,楠本 岳,OH,,#004099,white
東レアローズ静岡,8,藤中 優斗,OH,5,#004099,white
東レアローズ静岡,9,馬渡 拓巳,OH,,#004099,white
東レアローズ静岡,10,重藤 トビアス赳,OH,2,#004099,white
東レアローズ静岡,11,クレーツ,OP,4,#004099,white
東レアローズ静岡,12,山田 大貴,OH,,#004099,white
