チーム,背番号,名前,ポジション,スロット,カラー,番号色
アランマーレ山形,1,大元 朱菜,MB,,#ff5638,white
アランマーレ山形,2,前田 美紅,OH,,#ff5638,white
アランマーレ山形,3,木村 友里,OH,,#ff5638,white
アランマーレ山形,4,ドンポーン,OH,,#ff5638,white
アランマーレ山形,5,赤星 七星,S,1,#ff5638,white
アランマーレ山形,6,杜 秋爽,OH,,#ff5638,white
アランマーレ山形,7,若泉 佳穂,OP,4,#ff5638,white
アランマーレ山形,9,徳永 優奈,OH,,#ff5638,white
アランマーレ山形,10,柳沢 紫子,MB,,#ff5638,white
アランマーレ山形,11,川釣 奈津,OP,,#ff5638,white
アランマーレ山形,12,石盛 めるも,S,,#ff5638,white
アランマーレ山形,15,澤田 遥,OH,,#ff5638,white
アランマーレ山形,17,松本 咲紀,OH,,#ff5638,white
アランマーレ山形,18,アチャラポーン,OH,5,#ff5638,white
アランマーレ山形,19,小川 真央,OP,,#ff5638,white
アランマーレ山形,21,新瀉 未悠,MB,,#ff5638,white
アランマーレ山形,22,田中 麻帆,OH,L,#141a4d,white
アランマーレ山形,24,尾﨑 こころ,OH,,#ff5638,white
アランマーレ山形,25,吉村 優花,OH,2,#ff5638,white
アランマーレ山形,28,シンディ,MB,3,#ff5638,white
アランマーレ山形,29,ウィモンラット,MB,6,#ff5638,white
デンソーエアリービーズ,1,山下 晴奈,OH,5,#e30215,white
デンソーエアリービーズ,3,横山 真奈,MB,,#e30215,white
デンソーエアリービーズ,4,川畑 遥奈,L,L,#000000,white
デンソーエアリービーズ,5,吉田 美海,OP,,#e30215,white
デンソーエアリービーズ,6,福本 眸,L,,#000000,white
デンソーエアリービーズ,7,ロザマリア,OH,2,#e30215,white
デンソーエアリービーズ,8,中元 南,OH,,#e30215,white
デンソーエアリービーズ,9,小口 樹葉,L,,#000000,white
デンソーエアリービーズ,10,石倉 沙姫,OH,,#e30215,white
デンソーエアリービーズ,12,サブリーナ,OH,4,#e30215,white
デンソーエアリービーズ,13,山口 結可,S,,#e30215,white
デンソーエアリービーズ,14,山崎 のの花,S,,#e30215,white
デンソーエアリービーズ,15,柳 千嘉,MB,3,#e30215,white
デンソーエアリービーズ,16,野田 祐希,OH,,#e30215,white
デンソーエアリービーズ,17,イェーモンミャ,OH,,#e30215,white
デンソーエアリービーズ,18,山上 有紀,S,1,#e30215,white
デンソーエアリービーズ,19,川岸 夕紗,S,,#e30215,white
デンソーエアリービーズ,20,和田 栞菜,L,,#000000,white
デンソーエアリービーズ,22,大﨑 琴未,MB,,#e30215,white
デンソーエアリービーズ,23,麻野 七奈未,MB,,#e30215,white
デンソーエアリービーズ,25,瀬戸 杏華,MB,,#e30215,white
デンソーエアリービーズ,33,蓑輪 幸,MB,6,#e30215,white
Astemoリヴァーレ茨城,1,上坂 瑠子,OH,,#b0000f,white
Astemoリヴァーレ茨城,2,雑賀 恵斗,S,1,#b0000f,white
Astemoリヴァーレ茨城,3,長内 美和子,OH,2,#b0000f,white
Astemoリヴァーレ茨城,4,濱村 ゆい,OH,,#b0000f,white
Astemoリヴァーレ茨城,5,佐藤 黎香,MB,3,#b0000f,white
Astemoリヴァーレ茨城,6,髙橋 凜,L,,#ffffff,black
Astemoリヴァーレ茨城,7,德本 歩未香,L,L,#ffffff,black
Astemoリヴァーレ茨城,9,バトラー,MB,6,#b0000f,white
Astemoリヴァーレ茨城,10,境 紗里奈,S,,#b0000f,white
Astemoリヴァーレ茨城,11,岡部 詩音,OH,4,#b0000f,white
Astemoリヴァーレ茨城,13,佐村 真唯,OH,,#b0000f,white
Astemoリヴァーレ茨城,14,メイ,OH,5,#b0000f,white
Astemoリヴァーレ茨城,15,高間 来瞳,OH,,#b0000f,white
Astemoリヴァーレ茨城,17,渡邊 彩,MB,,#b0000f,white
Astemoリヴァーレ茨城,18,江藤 綾香,MB,,#b0000f,white
Astemoリヴァーレ茨城,19,倉田 朱里,S,,#b0000f,white
Astemoリヴァーレ茨城,20,廣瀨 美音,OH,,#b0000f,white
Astemoリヴァーレ茨城,21,生井澤 美海華,OH,,#b0000f,white
Astemoリヴァーレ茨城,22,忠願寺 風來,MB,,#b0000f,white
Astemoリヴァーレ茨城,23,佐藤 にじ,MB,,#b0000f,white
群馬グリーンウイングス,3,菊地 実結,L,,#fc0558,white
群馬グリーンウイングス,4,道下 ひなの,MB,3,#00cc66,white
群馬グリーンウイングス,5,仁井田 桃子,OH,4,#00cc66,white
群馬グリーンウイングス,6,松浦 未波,S,,#00cc66,white
群馬グリーンウイングス,7,藤井 寧々,OH,,#00cc66,white
群馬グリーンウイングス,8,髙相 みな実,OH,,#00cc66,white
群馬グリーンウイングス,9,山下 遥香,S,1,#00cc66,white
群馬グリーンウイングス,10,ロジャンスキ,OH,5,#00cc66,white
群馬グリーンウイングス,11,ディミトロヴァ,MB,6,#00cc66,white
群馬グリーンウイングス,12,堀 由佳,OH,,#00cc66,white
群馬グリーンウイングス,13,堤 亜里菜,OH,,#00cc66,white
群馬グリーンウイングス,14,塩崎 葵葉,MB,,#00cc66,white
群馬グリーンウイングス,15,工藤 真帆,L,L,#fc0558,white
群馬グリーンウイングス,16,トゥイー,OH,2,#00cc66,white
群馬グリーンウイングス,17,新井 三寿希,OH,,#00cc66,white
群馬グリーンウイングス,18,中野 康羽,OH,,#00cc66,white
群馬グリーンウイングス,19,横山 愛茄,MB,,#00cc66,white
群馬グリーンウイングス,20,永井 いづみ,S,,#00cc66,white
群馬グリーンウイングス,21,佐藤 莉子,MB,,#00cc66,white
群馬グリーンウイングス,22,西川 さくら,L,,#fc0558,white
群馬グリーンウイングス,23,小嶋 桃香,OH,,#00cc66,white
群馬グリーンウイングス,24,大友 萌加,S,,#00cc66,white
群馬グリーンウイングス,29,門田 湖都,OH,,#00cc66,white
埼玉上尾メディックス,1,山中 宏予,MB,3,#413aa6,white
埼玉上尾メディックス,2,岩崎 こよみ,S,1,#413aa6,white
埼玉上尾メディックス,4,濱松 明日香,MB,,#413aa6,white
埼玉上尾メディックス,5,内瀬戸 真実,OH,2,#413aa6,white
埼玉上尾メディックス,6,目黒 安希,OH,,#413aa6,white
埼玉上尾メディックス,7,井上 奈々朱,MB,,#413aa6,white
埼玉上尾メディックス,8,山地 梨菜,OH,,#413aa6,white
埼玉上尾メディックス,9,井城 青空,OP,,#413aa6,white
埼玉上尾メディックス,11,入澤 まい,MB,6,#413aa6,white
埼玉上尾メディックス,12,岩澤 実育,L,L,#ffffff,black
埼玉上尾メディックス,13,黒後 愛,OH,4,#413aa6,white
埼玉上尾メディックス,14,オクム大庭,OH,5,#413aa6,white
埼玉上尾メディックス,15,堀迫 雅,OH,,#413aa6,white
埼玉上尾メディックス,16,イザベラ,OP,,#413aa6,white
埼玉上尾メディックス,17,鎌田 咲希,S,,#413aa6,white
埼玉上尾メディックス,18,権田 寛奈,MB,,#413aa6,white
埼玉上尾メディックス,20,岳野 ひかる,L,,#ffffff,black
埼玉上尾メディックス,22,小山 明,S,,#413aa6,white
NECレッドロケッツ川崎,1,山田 二千華,MB,6,#de072e,white
NECレッドロケッツ川崎,2,佐藤 淑乃,OH,2,#de072e,white
NECレッドロケッツ川崎,3,大工園 彩夏,L,,#012b61,white
NECレッドロケッツ川崎,4,廣田 あい,OH,,#de072e,white
NECレッドロケッツ川崎,6,澤田 由佳,S,,#de072e,white
NECレッドロケッツ川崎,7,甲 萌香,MB,3,#de072e,white
NECレッドロケッツ川崎,8,野嶋 華澄,MB,,#de072e,white
NECレッドロケッツ川崎,9,児玉 奈津美,L,L,#012b61,white
NECレッドロケッツ川崎,10,中川 つかさ,S,1,#de072e,white
NECレッドロケッツ川崎,11,古谷 ちなみ,OH,,#de072e,white
NECレッドロケッツ川崎,12,佐々木 遥子,OH,,#de072e,white
NECレッドロケッツ川崎,13,和田 由紀子,OH,,#de072e,white
NECレッドロケッツ川崎,14,原嶋 睦夢,MB,,#de072e,white
NECレッドロケッツ川崎,15,ヌワカロール,OP,4,#de072e,white
NECレッドロケッツ川崎,17,伊藤 一葉,MB,,#de072e,white
NECレッドロケッツ川崎,18,細川 春香,S,,#de072e,white
NECレッドロケッツ川崎,19,デ・ラ・ ローザ,S,,#de072e,white
NECレッドロケッツ川崎,23,髙橋 美鈴,OH,,#de072e,white
NECレッドロケッツ川崎,24,長谷部 奈香,MB,,#de072e,white
NECレッドロケッツ川崎,77,デイ,OH,5,#de072e,white
ＫＵＲＯＢＥアクアフェアリーズ,1,古市 梨乃,OH,,#8da8e0,white
ＫＵＲＯＢＥアクアフェアリーズ,2,金田 莉実,OH,2,#8da8e0,white
ＫＵＲＯＢＥアクアフェアリーズ,3,アイリス,OH,4,#8da8e0,white
ＫＵＲＯＢＥアクアフェアリーズ,4,安田 美南,S,1,#8da8e0,white
ＫＵＲＯＢＥアクアフェアリーズ,5,畑 葵,OH,,#8da8e0,white
ＫＵＲＯＢＥアクアフェアリーズ,6,田邉 彩七,OH,,#8da8e0,white
ＫＵＲＯＢＥアクアフェアリーズ,7,中村 安里,MB,3,#8da8e0,white
ＫＵＲＯＢＥアクアフェアリーズ,8,依田 茉衣子,L,,#ffffff,black
ＫＵＲＯＢＥアクアフェアリーズ,9,住田 帆志乃,OH,,#8da8e0,white
ＫＵＲＯＢＥアクアフェアリーズ,10,山口 真季,MB,6,#8da8e0,white
ＫＵＲＯＢＥアクアフェアリーズ,11,中川 美柚,OH,,#8da8e0,white
ＫＵＲＯＢＥアクアフェアリーズ,12,浮島 杏加子,OH,,#8da8e0,white
ＫＵＲＯＢＥアクアフェアリーズ,14,奥原 花,S,,#8da8e0,white
ＫＵＲＯＢＥアクアフェアリーズ,15,大久保 真美,MB,,#8da8e0,white
ＫＵＲＯＢＥアクアフェアリーズ,17,浦山 絢妃,L,L,#ffffff,black
ＫＵＲＯＢＥアクアフェアリーズ,18,シュティグロート,OH,5,#8da8e0,white
ＫＵＲＯＢＥアクアフェアリーズ,20,中山 夏菜子,MB,,#8da8e0,white
ＫＵＲＯＢＥアクアフェアリーズ,21,稲田 心蕗,S,,#8da8e0,white
ＫＵＲＯＢＥアクアフェアリーズ,22,平野 シアラ,OH,,#8da8e0,white
ＫＵＲＯＢＥアクアフェアリーズ,27,ホフト,MB,,#8da8e0,white
ＫＵＲＯＢＥアクアフェアリーズ,44,アンドラデ,OH,,#8da8e0,white
PFUブルーキャッツ石川かほく,1,横田 真未,MB,,#014099,white
PFUブルーキャッツ石川かほく,2,五島 楓,L,,#de006b,white
PFUブルーキャッツ石川かほく,3,藤倉 由貴,S,,#014099,white
PFUブルーキャッツ石川かほく,4,川﨑 鈴奈,OH,,#014099,white
PFUブルーキャッツ石川かほく,5,大村 季色,OH,,#014099,white
PFUブルーキャッツ石川かほく,6,細沼 綾,MB,6,#014099,white
PFUブルーキャッツ石川かほく,7,舩田 璃々香,L,L,#de006b,white
PFUブルーキャッツ石川かほく,8,大熊 紀妙,OH,,#014099,white
PFUブルーキャッツ石川かほく,9,川添 美優,OH,5,#014099,white
PFUブルーキャッツ石川かほく,10,長友 真由,MB,,#014099,white
