チーム,背番号,名前,ポジション,スロット
ヴォレアス北海道,2,中道 優斗,OH,
ヴォレアス北海道,3,国京 大海,S,
ヴォレアス北海道,4,松下 彪雅,MB,
ヴォレアス北海道,5,井上 仁,MB,
ヴォレアス北海道,6,山岸 隼,,1
ヴォレアス北海道,8,日車 恭輔,,
ヴォレアス北海道,9,池田 幸太,,
ヴォレアス北海道,10,タンメアル,,2
ヴォレアス北海道,11,外崎 航平,,L
ヴォレアス北海道,12,荒尾 怜音,,
ヴォレアス北海道,14,張 育陞,,4
ヴォレアス北海道,15,出口 大聖,,
ヴォレアス北海道,18,古賀 健太,,
ヴォレアス北海道,19,浜田 翔太,,
ヴォレアス北海道,20,染野 輝,,5
ヴォレアス北海道,34,三好 佳介,,6
ヴォレアス北海道,44,タンメマー,,3
東京グレートベアーズ,1,クレク,,
東京グレートベアーズ,3,深津 旭弘,,
東京グレートベアーズ,4,コザメルニク,,
東京グレートベアーズ,5,谷口 渉,,
東京グレートベアーズ,6,フェレイラ,,
東京グレートベアーズ,8,柳田 将洋,,
東京グレートベアーズ,9,戸嵜 嵩大,,
東京グレートベアーズ,10,古賀 太一郎,,
東京グレートベアーズ,12,村山 豪,,
東京グレートベアーズ,13,大竹 壱青,,
東京グレートベアーズ,15,今橋 祐希,,
東京グレートベアーズ,17,ヴィセンティン,,
東京グレートベアーズ,25,後藤 陸翔,,
東京グレートベアーズ,26,伊藤 吏玖,,
東京グレートベアーズ,29,大前 隆貴,,
東京グレートベアーズ,30,川野 琢磨,,
東京グレートベアーズ,31,黒川 竜星,,
東京グレートベアーズ,32,近藤 蘭丸,,
東京グレートベアーズ,39,髙島 優作,,
VC長野トライデンツ,1,山田 航旗,,
VC長野トライデンツ,2,藤澤 慶一郎,,
VC長野トライデンツ,3,酒井 秀輔,,
VC長野トライデンツ,5,難波 宏冶,,
VC長野トライデンツ,6,赤星 伸城,,
VC長野トライデンツ,7,古藤 宏規,,
VC長野トライデンツ,8,中島 健斗,,
VC長野トライデンツ,9,藤原 奨太,,
VC長野トライデンツ,10,安原 大,,
VC長野トライデンツ,11,工藤 有史,,
VC長野トライデンツ,12,星名 勇佑,,
VC長野トライデンツ,13,飯田 孝雅,,
VC長野トライデンツ,14,ニーブス,,
VC長野トライデンツ,17,松本 慶彦,,
VC長野トライデンツ,18,佐藤 隆哉,,
VC長野トライデンツ,19,一条 太嘉丸,,
VC長野トライデンツ,21,岸川 蓮樹,,
VC長野トライデンツ,22,マドセン,,
VC長野トライデンツ,24,安部 翔大,,
VC長野トライデンツ,26,ファルハン,,
東レアローズ静岡,1,難波 尭弘,,
東レアローズ静岡,2,新 貴裕,,
東レアローズ静岡,3,山口 拓海,,
東レアローズ静岡,4,酒井 啓輔,,
東レアローズ静岡,6,楠本 岳,,
東レアローズ静岡,8,藤中 優斗,,
東レアローズ静岡,9,馬渡 拓巳,,
東レアローズ静岡,10,重藤 トビアス赳,,
東レアローズ静岡,11,クレーツ,,
東レアローズ静岡,12,山田 大貴,,
